pair,pair_id,sp_1,sp_2,genetic_dist,range_overlap,niche_relrank_overlap,niche_i_overlap,niche_d_overlap,depth_overlap,photophore_dis
sister,1,Benthosema_fibulatum,Benthosema_panamense,0.25049238,0.598453608,0.673547584,0.136845143,0.029126806,NA,74.75
sister,2,Benthosema_glaciale,Benthosema_suborbitale,0.22241516,0.579845388,0.234927109,0.258752276,0.138662965,0.794164118,151
sister,3,Bolinichthys_photothorax,Bolinichthys_longipes,0.094910707,0.744525897,0.646634578,0.665362448,0.546553281,0.941466991,NA
sister,4,Bolinichthys_supralateralis,Bolinichthys_pyrsobolus,0.040026821,0.598463941,0.349457748,0.372713907,0.236346103,0.903968337,17
sister,5,Centrobranchus_choerocephalus,Centrobranchus_nigroocellatus,0.053898086,0.994955719,0.395807157,0.421016701,0.191814338,0.983666667,4.75
sister,6,Ceratoscopelus_warmingii,Ceratoscopelus_townsendi,0.089887981,0.975278618,0.737297465,0.899433069,0.731149414,0.729116945,70
sister,7,Diaphus_danae,Diaphus_splendidus,0.085046477,0.393312679,0.334998833,0.226040757,0.148179725,0.3773355,99
sister,8,Diaphus_effulgens,Diaphus_phillipsi,0.02811697,0.780848835,0.425879486,0.503233675,0.311134962,0.929882353,36
sister,9,Diaphus_fragilis,Diaphus_bertelseni,0.0961829,0.790704434,0.696392185,0.780239244,0.576169059,0.551902887,117
sister,10,Diaphus_fulgens,Diaphus_aliciae,0.052785538,0.807996783,0.843635987,0.838550849,0.66386464,0.719931857,2.5
sister,11,Diaphus_garmani,Diaphus_malayanus,0.012105255,0.981417466,0.702016056,0.735662652,0.526851769,0.527456647,60.5
sister,12,Diaphus_parri,Diaphus_meadi,0.022754909,0.626936041,0.431116219,0.36776384,0.223875102,0.859103949,7
sister,13,Diaphus_richardsoni,Diaphus_brachycephalus,0.036165986,0.930983789,0.53104968,0.599053874,0.398698449,0.442667323,2.5
sister,14,Diaphus_signatus,Diaphus_schmidti,0.128806797,0.727338552,0.767646322,0.680295609,0.48395104,0.89561759,9.25
sister,15,Diaphus_subtilis,Diaphus_hudsoni,0.037425126,0.039401989,0.474209521,0.008903884,0.005311595,0.534392641,22.5
sister,16,Diaphus_thiollierei,Diaphus_perspicillatus,0.014629892,0.867817814,0.367003396,0.433645301,0.252223236,0.863012545,46
sister,17,Diogenichthys_atlanticus,Diogenichthys_laternatus,0.128618901,1,0.242998246,0.360783228,0.145568038,0.551201581,58.25
sister,18,Electrona_antarctica,Electrona_subaspera,0.011307555,0.603464207,0.65132517,0.464941755,0.300882757,0.768866328,82
sister,19,Electrona_carlsbergi,Electrona_risso,0.081555792,0.3555955,0.155619118,0.211235339,0.149436263,0.718492638,102
sister,20,Gonichthys_cocco,Gonichthys_tenuiculus,0.05986162,0.002688283,0.557108908,0.000827402,0.000667755,0.15690568,1
sister,21,Gymnoscopelus_fraseri,Gymnoscopelus_bolini,0.035383564,0.964837899,0.908803069,0.938184167,0.819580969,0.730812876,20.25
sister,22,Gymnoscopelus_opisthopterus,Gymnoscopelus_braueri,0.079381713,1,0.936359001,0.961760317,0.847722855,0.436856801,19.25
sister,23,Hygophum_atratum,Myctophum_aurolaternatum,0.078866215,0.818291727,0.745997701,0.524797241,0.353964898,0.791500934,39.5
sister,24,Hygophum_hanseni,Hygophum_reinhardtii,0.073369591,0.508020295,0.297736798,0.264380656,0.158296578,0.559607956,3.5
sister,25,Krefftichthys_anderssoni,Protomyctophum_tenisoni,0.052222796,0.985074185,0.925913188,0.935819665,0.778306219,0.38057059,98.5
sister,26,Lampadena_anomala,Lampadena_chavesi,0.152708998,0.948117638,0.523974041,0.668419289,0.45782053,0.369949109,35
sister,27,Lampadena_speculigera,Lampadena_notialis,0.113601147,0.847381232,0.766647367,0.726021078,0.566340935,0.989166667,11
sister,28,Lampanyctus_australis,Lampanyctus_pusillus,0.119401979,0.770707606,0.666817604,0.726274401,0.571266691,0.449759189,33.5
sister,29,Lampanyctus_festivus,Lampanyctus_tenuiformis,0.024037829,0.877706903,0.610907268,0.729435606,0.505256167,0.937145289,NA
sister,30,Lampanyctus_jordani,Nannobrachium_ritteri,0.031682484,0.922368345,0.930693651,0.783978788,0.589944411,0.761893818,77.5
sister,31,Lampanyctus_macdonaldi,Lampanyctus_crocodilus,0.042284209,0.57430543,0.538865029,0.417646273,0.247690709,0.46969697,3
sister,32,Lampanyctus_nobilis,Lampanyctus_vadulus,0.078259375,1,0.686883107,0.794420431,0.610929953,NA,2
sister,33,Lampanyctus_parvicauda,Lampanyctus_hubbsi,0.076721106,0.496708329,0.861140156,0.283951384,0.181195743,0.568883878,3
sister,34,Lepidophanes_gaussi,Lepidophanes_guentheri,0.268388123,0.975720753,0.883722056,0.878145848,0.702905972,0.98017149,22
sister,35,Lobianchia_gemellarii,Lobianchia_dofleini,0.204429841,0.976558949,0.682337692,0.835148237,0.651280014,0.760019432,3.25
sister,36,Loweina_rara,Tarletonbeania_crenularis,0.139982378,0.445480482,0.287004087,0.133844872,0.05219529,0.745693921,20.5
sister,37,Metelectrona_ventralis,Electrona_paucirastra,0.079738958,0.998667416,0.683623543,0.782969731,0.583073099,0.715442147,63
sister,38,Myctophum_affine,Myctophum_nitidulum,0.018910575,0.851526439,0.381133934,0.517443909,0.290582181,0.625476557,122.5
sister,39,Myctophum_brachygnathum,Myctophum_obtusirostre,0.021238896,0.968798286,0.655383206,0.680614371,0.489253441,0.96758219,2.75
sister,40,Myctophum_lychnobium,Myctophum_spinosum,0.056273972,0.864841814,0.772945274,0.784215588,0.605051197,NA,9.75
sister,41,Nannobrachium_lineatum,Nannobrachium_cuprarium,0.06920079,0.994564755,0.637616336,0.743299843,0.543975656,0.66333142,3
sister,42,Protomyctophum_thompsoni,Protomyctophum_crockeri,0.016541198,0.898174575,0.954319441,0.820234593,0.626176417,0.776875,127.5
sister,43,Stenobrachius_nannochir,Stenobrachius_leucopsarus,0.012991505,0.97257785,0.980910984,0.968461091,0.873026277,0.304601682,169
sister,44,Symbolophorus_rufinus,Symbolophorus_evermanni,0.022839107,0.686776328,0.647502182,0.643211331,0.524705643,0.918350478,1
sister,45,Symbolophorus_veranyi,Symbolophorus_barnardi,0.086139278,0.328450698,0.484053888,0.23743009,0.205530379,0.889872578,22
sister,46,Triphoturus_mexicanus,Triphoturus_nigrescens,0.195824087,0.941751486,0.5138739,0.457553444,0.257501882,0.613495533,88
non-sister,1,sister_sp_av,Benthosema_suborbitale,0.307998491,0.618214985,0.285303445,0.269166096,0.156769927,0.776386233,75.125
non-sister,2,sister_sp_av,Benthosema_fibulatum,0.297360304,0.477592095,0.461043372,0.262901777,0.15852167,0.698502919,108.25
non-sister,3,sister_sp_av,Bolinichthys_indicus,0.103542616,0.436834485,0.388757443,0.342511691,0.257569103,0.632394644,1.25
non-sister,4,sister_sp_av,Bolinichthys_nikolayi,0.051904902,0.725241208,0.452258449,0.333924735,0.16094281,0.864075164,41.75
non-sister,5,sister_sp_av,Gonichthys_cocco,0.168332148,0.468997121,0.495719878,0.331411242,0.233748549,0.864619197,6
non-sister,6,sister_sp_av,Ceratoscopelus_maderensis,0.157768291,0.893713602,0.275507471,0.330554089,0.157574472,0.599103219,56.375
non-sister,7,sister_sp_av,Diaphus_phillipsi,0.08786835,0.602402461,0.559224341,0.480347484,0.372512821,0.593985278,31.75
non-sister,8,sister_sp_av,Diaphus_danae,0.062819574,0.64494729,0.411989181,0.350819695,0.213766426,0.561243877,20.5
non-sister,9,sister_sp_av,Diaphus_thiollierei,0.104647571,0.808837117,0.465388305,0.412585749,0.243463031,0.732249653,26.75
non-sister,10,sister_sp_av,Diaphus_brachycephalus,0.091504696,0.870132365,0.546386568,0.611236881,0.420549002,0.698244617,18.25
non-sister,11,sister_sp_av,Diaphus_regani,0.051093387,0.966887046,0.83293957,0.867918304,0.730440362,0.714088212,96.5
non-sister,12,sister_sp_av,Diaphus_anderseni,0.101538035,0.734976147,0.606745535,0.591960466,0.413690038,0.757164671,10.25
non-sister,13,sister_sp_av,Diaphus_fulgens,0.087890026,0.822206265,0.660023678,0.666835752,0.459598455,0.646039677,13
non-sister,14,sister_sp_av,Diaphus_metopoclampus,0.136484697,0.491658239,0.338756147,0.243154637,0.122962383,0.723860676,15.5
non-sister,15,sister_sp_av,Diaphus_holti,0.083891385,0.651117303,0.665054744,0.434732825,0.29707631,0.590096901,68.25
non-sister,16,sister_sp_av,Diaphus_bertelseni,0.130926675,0.812275013,0.598328739,0.591129805,0.436281001,0.576193855,70
non-sister,17,sister_sp_av,Benthosema_suborbitale,0.297080904,0.910177761,0.549115545,0.592582456,0.476714889,0.528898446,26.5
non-sister,18,sister_sp_av,Electrona_risso,0.076844209,0.32697076,0.151536886,0.187859148,0.11978758,0.764630542,143.25
non-sister,19,sister_sp_av,Electrona_antarctica,0.086337587,0.553172913,0.446529152,0.444238554,0.343607734,0.53138159,173
non-sister,20,sister_sp_av,Centrobranchus_andreae,0.160986861,0.132174054,0.466235169,0.049039941,0.030465457,0.425393495,22.75
non-sister,21,sister_sp_av,Gymnoscopelus_opisthopterus,0.094520382,0.77810213,0.778159539,0.724019409,0.51291771,0.514602671,24.5
non-sister,22,sister_sp_av,Gymnoscopelus_piabilis,0.132939642,0.611085555,0.677052566,0.528129297,0.377263122,0.517905506,41.375
non-sister,23,sister_sp_av,Myctophum_punctatum,0.242487368,0.005286522,0.68008918,0.001425975,0.00100288,0.482044818,138
non-sister,24,sister_sp_av,Hygophum_proximum,0.080881697,0.523693624,0.422191305,0.382690581,0.283656351,0.747848207,26
non-sister,25,sister_sp_av,Protomyctophum_parallelum,0.062812498,0.944417718,0.866058883,0.895175387,0.732785626,0.522910208,59.625
non-sister,26,sister_sp_av,Lampadena_luminosa,0.194202034,0.850050346,0.611069728,0.670316852,0.4932827,0.619008301,14.75
non-sister,27,sister_sp_av,Taaningichthys_minimus,0.229598222,0.431327312,0.450303748,0.389170833,0.264066415,0.806559323,14
non-sister,28,sister_sp_av,Lampanyctus_intricarius,0.129116866,0.837901709,0.773551905,0.839994838,0.706356608,0.724877182,9.75
non-sister,29,sister_sp_av,Nannobrachium_idiostigma,0.043147472,0.755145213,0.261840116,0.178824039,0.055591242,0.502613754,40
non-sister,30,sister_sp_av,Nannobrachium_regale,0.052439297,0.925049539,0.952138333,0.869610395,0.692482854,0.564473374,43.375
non-sister,31,sister_sp_av,Lampanyctus_photonotus,0.115500611,0.674228985,0.652889277,0.458876755,0.31317027,0.657850698,3.75
non-sister,32,sister_sp_av,Lampanyctus_hubbsi,0.10334078,0.78485646,0.555574183,0.370503015,0.18756003,0.858163265,11
non-sister,33,sister_sp_av,Lampanyctus_vadulus,0.102544544,0.33601047,0.622212045,0.173595255,0.094966508,NA,15
non-sister,34,sister_sp_av,Ceratoscopelus_townsendi,0.342300179,0.840187628,0.367297206,0.458819794,0.236312275,0.551163484,68.75
non-sister,35,sister_sp_av,Diaphus_dumerilii,0.279282705,0.880528009,0.465972469,0.612835858,0.418112365,0.678383364,37.5
non-sister,36,sister_sp_av,Myctophum_phengodes,0.266002495,0.30775088,0.44370339,0.162748813,0.088775931,0.638671367,115.625
non-sister,37,sister_sp_av,Electrona_antarctica,0.087240748,0.498550578,0.522644983,0.257833658,0.163497737,0.485243751,62.5
non-sister,38,sister_sp_av,Myctophum_punctatum,0.185928865,0.814312618,0.502569111,0.297205326,0.141161682,0.687384584,55.5
non-sister,39,sister_sp_av,Myctophum_selenops,0.136390243,0.899825082,0.617941428,0.732025676,0.56971266,0.824399264,43
non-sister,40,sister_sp_av,Myctophum_asperum,0.113081041,0.950300421,0.613416753,0.701406428,0.524508331,0.843273092,69.875
non-sister,41,sister_sp_av,Nannobrachium_achirus,0.161273957,0.290108907,0.180599891,0.100854753,0.066306597,0.81526164,19.25
non-sister,42,sister_sp_av,Protomyctophum_arcticum,0.035408787,0,0.814177202,0,0,0.579003118,94.125
non-sister,43,sister_sp_av,Parvilux_ingens,0.12000287,0.736814457,0.918533369,0.510960989,0.323004767,0.600284635,30.5
non-sister,44,sister_sp_av,Symbolophorus_californiensis,0.112250351,0.238720463,0.375326864,0.069943777,0.037215246,0.878,4.75
non-sister,45,sister_sp_av,Protomyctophum_tenisoni,0.349075253,0.155363935,0.394967206,0.092158753,0.064849427,0.925188692,131.25
non-sister,46,sister_sp_av,Parvilux_ingens,0.2109408,0.843594593,0.621980453,0.372147004,0.186394862,0.799736561,102
